gene_id	gene_name	est_counts	tpm
ENSG00000223972.5	DDX11L1	25.3638	1.21635
ENSG00000227232.5	WASH7P	15.7591	0.944094
ENSG00000278267.1	MIR6859-1	0.0	0.0
ENSG00000243485.5	MIR1302-2HG	0.0	0.0
ENSG00000284332.1	MIR1302-2	0.0	0.0
ENSG00000237613.2	FAM138A	0.0	0.0
ENSG00000268020.3	OR4G4P	0.0	0.0
ENSG00000240361.2	OR4G11P	0.0	0.0
ENSG00000186092.6	OR4F5	0.0	0.0
ENSG00000238009.6	AL627309.1	0.0	0.0
ENSG00000239945.1	AL627309.3	0.0	0.0
ENSG00000233750.3	CICP27	45.2596	0.902493
ENSG00000268903.1	AL627309.6	0.0	0.0
ENSG00000269981.1	AL627309.7	0.0	0.0
ENSG00000239906.1	AL627309.2	0.0	0.0
ENSG00000241860.6	AL627309.5	0.0	0.0
ENSG00000222623.1	RNU6-1100P	0.0	0.0
ENSG00000241599.1	AL627309.4	0.0	0.0
ENSG00000279928.2	FO538757.1	0.0	0.0
ENSG00000279457.4	WASH9P	163.035	9.41438
ENSG00000273874.1	MIR6859-2	0.0	0.0
ENSG00000228463.10	AP006222.1	116.54386	9.717422
ENSG00000236679.2	RPL23AP24	0.0	0.0
ENSG00000236601.2	AL732372.1	0.0	0.0
ENSG00000237094.12	AL732372.2	45.416610000000006	8.026639000000001
ENSG00000269732.1	WBP1LP7	0.0	0.0
ENSG00000284733.1	OR4F29	0.0	0.0
ENSG00000233653.3	CICP7	0.0	0.0
ENSG00000250575.1	AL732372.3	0.0	0.0
ENSG00000278757.1	RF00026	0.0	0.0
ENSG00000230021.10	AL669831.3	31.749858054370005	2.3944894439949995
ENSG00000235146.2	AC114498.1	0.0	0.0
ENSG00000225972.1	MTND1P23	11.5857	3.38728
ENSG00000225630.1	MTND2P28	556.805	44.4779
ENSG00000237973.1	MTCO1P12	10.5581	0.546978
ENSG00000278791.1	AC114498.2	0.0	0.0
ENSG00000229344.1	MTCO2P12	7.24832	0.953836
ENSG00000240409.1	MTATP8P1	3.11259	2.26825
ENSG00000248527.1	MTATP6P1	3614.48	476.497
ENSG00000198744.5	MTCO3P12	13.7306	2.38165
ENSG00000268663.1	WBP1LP6	0.0	0.0
ENSG00000284662.1	OR4F16	0.0	0.0
ENSG00000229376.3	CICP3	0.0	0.0
ENSG00000228327.3	AL669831.1	64.9681	0.757483
ENSG00000223181.1	RNU6-1199P	0.0	0.0
ENSG00000229905.1	AL669831.2	0.0	0.0
ENSG00000237491.9	AL669831.5	0.0	0.0
ENSG00000285268.1	AL669831.7	0.0	0.0
ENSG00000230092.7	AL669831.4	4.16485	0.409107
ENSG00000177757.2	FAM87B	0.0	0.0
ENSG00000228794.8	LINC01128	0.0	0.0
ENSG00000225880.5	LINC00115	0.0	0.0
ENSG00000230368.2	FAM41C	0.0	0.0
ENSG00000234711.1	TUBB8P11	0.0	0.0
ENSG00000283040.1	AL669831.6	0.0	0.0
ENSG00000272438.1	AL645608.6	0.0	0.0
ENSG00000230699.2	AL645608.2	0.0	0.0
ENSG00000241180.1	AL645608.4	0.0	0.0
ENSG00000223764.2	LINC02593	0.0	0.0
ENSG00000187634.12	SAMD11	21.008026148029998	1.027498418697
ENSG00000188976.11	NOC2L	2435.814999999999	76.026484
ENSG00000187961.14	KLHL17	13.0	0.391286
ENSG00000187583.10	PLEKHN1	8.0	0.252357
ENSG00000187642.9	PERM1	2.0	0.0505226
ENSG00000272512.1	AL645608.7	0.0	0.0
ENSG00000188290.10	HES4	9.0	1.0817839999999999
ENSG00000187608.9	ISG15	233.99954	33.328609
ENSG00000231702.2	AL645608.3	0.0	0.0
ENSG00000224969.1	AL645608.1	0.0	0.0
ENSG00000188157.15	AGRN	245.45115	2.709084
ENSG00000242590.1	AL645608.5	0.0	0.0
ENSG00000217801.10	AL390719.1	13.08596	1.897454
ENSG00000273443.1	AL645608.8	0.0	0.0
ENSG00000237330.3	RNF223	0.0	0.0
ENSG00000131591.17	C1orf159	149.9999	7.4692690000000015
ENSG00000285812.1	AL390719.3	0.0	0.0
ENSG00000223823.1	LINC01342	0.0	0.0
ENSG00000207730.3	MIR200B	0.0	0.0
ENSG00000207607.3	MIR200A	0.0	0.0
ENSG00000198976.1	MIR429	0.0	0.0
ENSG00000272141.1	AL390719.2	0.0	0.0
ENSG00000205231.1	TTLL10-AS1	0.0	0.0
ENSG00000162571.13	TTLL10	2.13704	0.316315
ENSG00000186891.14	TNFRSF18	59.000040000000006	4.7650749999999995
ENSG00000186827.11	TNFRSF4	3.0	0.541094
ENSG00000078808.16	SDF4	2654.9979000000003	119.390513
ENSG00000176022.6	B3GALT6	65.99999500000001	1.8101935
ENSG00000184163.3	C1QTNF12	11.0	1.1677250000000001
ENSG00000260179.1	AL162741.1	0.0	0.0
ENSG00000160087.20	UBE2J2	864.753234187	53.821407696200005
ENSG00000230415.1	LINC01786	0.0	0.0
ENSG00000162572.20	SCNN1D	3.9999979999999997	0.1409226
ENSG00000131584.19	ACAP3	160.22045999999997	4.350344
ENSG00000278073.1	MIR6726	0.0	0.0
ENSG00000169972.12	PUSL1	259.32472399999995	16.8584959
ENSG00000127054.20	INTS11	1349.6636787752	57.414284707898
ENSG00000283712.1	MIR6727	0.0	0.0
ENSG00000240731.1	AL139287.1	0.0	0.0
ENSG00000224051.7	CPTP	75.99998	2.8585819999999997
ENSG00000169962.5	TAS1R3	3.0	0.0658356
ENSG00000107404.20	DVL1	94.99999	2.537814
ENSG00000284372.1	MIR6808	0.0	0.0
ENSG00000162576.16	MXRA8	4427.00518	192.22127200000003
ENSG00000175756.13	AURKAIP1	1391.9999	139.17678
ENSG00000223663.2	NDUFB4P8	1.0	0.298083
ENSG00000221978.12	CCNL2	1959.2412699999998	91.288106
ENSG00000224870.6	MRPL20-AS1	0.0	0.0
ENSG00000242485.6	MRPL20	1579.2202200000002	200.36575599999998
ENSG00000264293.2	RN7SL657P	0.0	0.0
ENSG00000272455.1	AL391244.2	0.0	0.0
ENSG00000235098.8	ANKRD65	30.124154599999997	1.65328717
ENSG00000225905.1	AL391244.1	0.0	0.0
ENSG00000205116.3	TMEM88B	0.0	0.0
ENSG00000225285.1	LINC01770	0.0	0.0
ENSG00000179403.12	VWA1	7.0	0.393147
ENSG00000215915.9	ATAD3C	8.436349	0.4284667
ENSG00000160072.19	ATAD3B	180.34984000000003	5.278854000000001
ENSG00000284740.1	AL645728.2	7.04177	2.1284650000000003
ENSG00000197785.13	ATAD3A	345.34979599999997	12.1027849
ENSG00000205090.9	TMEM240	0.0	0.0
ENSG00000160075.12	SSU72	1216.2668	67.406393
ENSG00000215014.5	AL645728.1	0.0	0.0
ENSG00000274481.1	AL691432.3	0.0	0.0
ENSG00000228594.4	FNDC10	1.0	0.036763
ENSG00000272106.1	AL691432.2	0.0	0.0
ENSG00000197530.12	MIB2	59.046899077789995	3.211768531143
ENSG00000189409.13	MMP23B	1.0	0.20303
ENSG00000248333.8	CDK11B	349.5834	19.632077
ENSG00000272004.1	FO704657.1	0.0	0.0
ENSG00000189339.11	SLC35E2B	388.4119	5.683396
ENSG00000269737.2	AL691432.1	8.633939999999999	0.9715560000000001
ENSG00000215914.4	MMP23A	3.0	0.246881
ENSG00000008128.23	CDK11A	206.41583000000003	12.972581
ENSG00000268575.1	AL031282.2	0.0	0.0
ENSG00000227775.3	AL031282.1	15.4163	3.125874
ENSG00000215790.7	SLC35E2A	461.27399155131997	8.8134730561334
ENSG00000008130.15	NADK	162.30950299999998	4.952341199999999
ENSG00000078369.18	GNB1	681.0095099999999	20.2356314
ENSG00000231050.1	AL109917.1	0.0	0.0
ENSG00000169885.10	CALML6	1.9999980000000002	0.1344813
ENSG00000178821.13	TMEM52	3.0	0.221816
