gene_id	gene_name	est_counts	tpm
ENSG00000223972.5	DDX11L1	0.0	0.0
ENSG00000227232.5	WASH7P	17.4727	1.2081
ENSG00000278267.1	MIR6859-1	0.0	0.0
ENSG00000243485.5	MIR1302-2HG	0.0	0.0
ENSG00000284332.1	MIR1302-2	0.0	0.0
ENSG00000237613.2	FAM138A	0.0	0.0
ENSG00000268020.3	OR4G4P	0.0	0.0
ENSG00000240361.2	OR4G11P	0.0	0.0
ENSG00000186092.6	OR4F5	0.0	0.0
ENSG00000238009.6	AL627309.1	0.0	0.0
ENSG00000239945.1	AL627309.3	0.0	0.0
ENSG00000233750.3	CICP27	40.7716	0.937041
ENSG00000268903.1	AL627309.6	2.32356	0.312802
ENSG00000269981.1	AL627309.7	0.0	0.0
ENSG00000239906.1	AL627309.2	0.0	0.0
ENSG00000241860.6	AL627309.5	0.0	0.0
ENSG00000222623.1	RNU6-1100P	0.0	0.0
ENSG00000241599.1	AL627309.4	0.0	0.0
ENSG00000279928.2	FO538757.1	0.0	0.0
ENSG00000279457.4	WASH9P	134.183	8.94197
ENSG00000273874.1	MIR6859-2	0.0	0.0
ENSG00000228463.10	AP006222.1	105.62778	8.273705999999999
ENSG00000236679.2	RPL23AP24	0.0	0.0
ENSG00000236601.2	AL732372.1	0.0	0.0
ENSG00000237094.12	AL732372.2	28.37219	6.144824
ENSG00000269732.1	WBP1LP7	0.0	0.0
ENSG00000284733.1	OR4F29	0.0	0.0
ENSG00000233653.3	CICP7	0.0	0.0
ENSG00000250575.1	AL732372.3	0.0	0.0
ENSG00000278757.1	RF00026	0.0	0.0
ENSG00000230021.10	AL669831.3	29.788719999999998	2.591595
ENSG00000235146.2	AC114498.1	0.0	0.0
ENSG00000225972.1	MTND1P23	7.27941	2.48362
ENSG00000225630.1	MTND2P28	521.584	48.1194
ENSG00000237973.1	MTCO1P12	6.44791	0.385428
ENSG00000278791.1	AC114498.2	0.0	0.0
ENSG00000229344.1	MTCO2P12	1.85081	0.281853
ENSG00000240409.1	MTATP8P1	1.03363	0.876791
ENSG00000248527.1	MTATP6P1	2304.49	351.574
ENSG00000198744.5	MTCO3P12	3.02003	0.607136
