gene_id	gene_name	est_counts	tpm
ENSG00000223972.5	DDX11L1	3.43619	0.199543
ENSG00000227232.5	WASH7P	22.436	1.62801
ENSG00000278267.1	MIR6859-1	0.0	0.0
ENSG00000243485.5	MIR1302-2HG	0.0	0.0
ENSG00000284332.1	MIR1302-2	0.0	0.0
ENSG00000237613.2	FAM138A	0.0	0.0
ENSG00000268020.3	OR4G4P	0.0	0.0
ENSG00000240361.2	OR4G11P	0.0	0.0
ENSG00000186092.6	OR4F5	0.0	0.0
ENSG00000238009.6	AL627309.1	0.0	0.0
ENSG00000239945.1	AL627309.3	0.0	0.0
ENSG00000233750.3	CICP27	37.2634	0.899209
ENSG00000268903.1	AL627309.6	0.0	0.0
ENSG00000269981.1	AL627309.7	0.0	0.0
ENSG00000239906.1	AL627309.2	0.0	0.0
ENSG00000241860.6	AL627309.5	0.0	0.0
ENSG00000222623.1	RNU6-1100P	0.0	0.0
ENSG00000241599.1	AL627309.4	0.0	0.0
ENSG00000279928.2	FO538757.1	0.0	0.0
ENSG00000279457.4	WASH9P	121.432	8.49285
ENSG00000273874.1	MIR6859-2	0.0	0.0
ENSG00000228463.10	AP006222.1	84.80423	7.6525490000000005
ENSG00000236679.2	RPL23AP24	0.0	0.0
ENSG00000236601.2	AL732372.1	0.0	0.0
ENSG00000237094.12	AL732372.2	25.043295999999998	5.8149179
ENSG00000269732.1	WBP1LP7	0.0	0.0
ENSG00000284733.1	OR4F29	0.0	0.0
ENSG00000233653.3	CICP7	1.45478	0.0550299
ENSG00000250575.1	AL732372.3	2.94826	0.235438
ENSG00000278757.1	RF00026	0.0	0.0
ENSG00000230021.10	AL669831.3	20.68334	1.985188
ENSG00000235146.2	AC114498.1	0.0	0.0
ENSG00000225972.1	MTND1P23	26.5057	9.44799
ENSG00000225630.1	MTND2P28	695.017	67.2758
ENSG00000237973.1	MTCO1P12	7.8185	0.490524
ENSG00000278791.1	AC114498.2	0.0	0.0
ENSG00000229344.1	MTCO2P12	7.31753	1.16835
ENSG00000240409.1	MTATP8P1	3.11726	2.76354
ENSG00000248527.1	MTATP6P1	2256.06	360.862
ENSG00000198744.5	MTCO3P12	7.59716	1.60011
ENSG00000268663.1	WBP1LP6	0.0	0.0
ENSG00000284662.1	OR4F16	0.0	0.0
ENSG00000229376.3	CICP3	2.87166e-06	1.09651e-07
ENSG00000228327.3	AL669831.1	69.0024	0.973426
ENSG00000223181.1	RNU6-1199P	0.0	0.0
ENSG00000229905.1	AL669831.2	0.0	0.0
ENSG00000237491.9	AL669831.5	0.0	0.0
ENSG00000285268.1	AL669831.7	1.12652	2.82039
ENSG00000230092.7	AL669831.4	2.6136999999999997	1.137413
ENSG00000177757.2	FAM87B	0.0	0.0
ENSG00000228794.8	LINC01128	0.0	0.0
ENSG00000225880.5	LINC00115	0.0	0.0
ENSG00000230368.2	FAM41C	0.0	0.0
ENSG00000234711.1	TUBB8P11	0.0	0.0
ENSG00000283040.1	AL669831.6	0.0	0.0
ENSG00000272438.1	AL645608.6	0.0	0.0
ENSG00000230699.2	AL645608.2	0.0	0.0
ENSG00000241180.1	AL645608.4	0.0	0.0
ENSG00000223764.2	LINC02593	0.0	0.0
ENSG00000187634.12	SAMD11	5.62187	0.285967
ENSG00000188976.11	NOC2L	1915.29831	69.19624400000001
ENSG00000187961.14	KLHL17	13.0	0.564204
ENSG00000187583.10	PLEKHN1	7.9999991999999995	0.42590003
ENSG00000187642.9	PERM1	0.0	0.0
ENSG00000272512.1	AL645608.7	0.0	0.0
ENSG00000188290.10	HES4	5.0	0.574632
ENSG00000187608.9	ISG15	162.99958	28.137890000000002
ENSG00000231702.2	AL645608.3	0.0	0.0
ENSG00000224969.1	AL645608.1	0.0	0.0
ENSG00000188157.15	AGRN	151.99955000000003	1.9079930999999999
ENSG00000242590.1	AL645608.5	0.0	0.0
ENSG00000217801.10	AL390719.1	18.639229999999998	3.328697
ENSG00000273443.1	AL645608.8	0.0	0.0
ENSG00000237330.3	RNF223	1.04221	0.0522377
ENSG00000131591.17	C1orf159	140.999979	7.7799849
ENSG00000285812.1	AL390719.3	0.0	0.0
ENSG00000223823.1	LINC01342	0.0	0.0
ENSG00000207730.3	MIR200B	0.0	0.0
ENSG00000207607.3	MIR200A	0.0	0.0
ENSG00000198976.1	MIR429	0.0	0.0
